_RAJ2000;_DEJ2000;Name;GLON;GLAT;z;Mbh;e_Mbh;Dist;SimbadName;NED;_RA.icrs;_DE.icrs
314.8194928;-32.6936821;ESO 401- G 025         ;011.68618;-39.99779; 0.01785; 176.285;  88.143; 73.3;ESO 401- G 025         ;NED;314.81949;-32.69368
296.0091842;-28.4008603;NGC 6816               ;011.74248;-23.26491; 0.02008; 707.763; 353.882; 82.5;NGC 6816               ;NED;296.00918;-28.40086
213.0700027;+18.2994917;UGC 09087              ;011.79208;+69.41078; 0.01711;  89.401;  44.700; 70.3;UGC 09087              ;NED;213.07000;+18.29949
296.1869907;-28.3862144;ESO 460- G 033         ;011.81397;-23.40764; 0.01608; 184.917;  92.458; 66.1;ESO 460- G 033         ;NED;296.18699;-28.38621
330.8118850;-33.8384919;IC 5156                ;011.86031;-53.40435; 0.00919; 129.544;  64.772; 37.7;IC 5156                ;NED;330.81188;-33.83849
336.0908215;-33.6941381;NGC 7267               ;012.06791;-57.79312; 0.01119; 136.247;  68.123; 46.0;NGC 7267               ;NED;336.09082;-33.69414
213.1017012;+18.4116534;UGC 09090              ;012.11287;+69.43863; 0.01678;  87.666;  43.833; 68.9;UGC 09090              ;NED;213.10170;+18.41165
245.5428425;-01.5148672;NGC 6172               ;012.26694;+31.82219; 0.01671; 215.594; 107.797; 68.6;NGC 6172               ;NED;245.54284;-01.51487
307.9127021;-30.8319232;NGC 6923               ;012.46449;-33.87023; 0.00943; 127.024;  63.512; 38.7;NGC 6923               ;NED;307.91270;-30.83192
214.9177992;+17.8545220;IC 1000                ;013.03447;+67.65659; 0.01877; 172.154;  86.077; 77.1;IC 1000                ;NED;214.91780;+17.85452
214.8859534;+17.8751575;IC 0999                ;013.04423;+67.69307; 0.01915; 149.048;  74.524; 78.6;IC 0999                ;NED;214.88595;+17.87516
244.2181387;+00.8413049;NGC 6100               ;013.75354;+34.22072; 0.01619;  78.043;  39.022; 66.5;NGC 6100               ;NED;244.21814;+00.84130
249.8478026;-02.4065153;UGC 10492              ;014.10997;+27.72966; 0.02351; 403.649; 201.824; 96.6;UGC 10492              ;NED;249.84780;-02.40652
297.3993278;-26.4323217;ESO 526- G 007         ;014.21584;-23.76921; 0.01988; 188.317;  94.158; 81.6;ESO 526- G 007         ;NED;297.39933;-26.43232
212.6466320;+19.6122913;NGC 5492               ;014.63523;+70.37469; 0.00757;  31.257;  15.629; 31.1;NGC 5492               ;NED;212.64663;+19.61229
241.1280116;+03.8684694;NGC 6036               ;014.87213;+38.44958; 0.01836; 362.806; 181.403; 75.4;NGC 6036               ;NED;241.12801;+03.86847
330.5351434;-31.9898520;NGC 7176               ;014.93187;-53.09675; 0.00838; 282.268; 141.134; 34.4;NGC 7176               ;NED;330.53514;-31.98985
330.5132266;-31.9737442;NGC 7173               ;014.95666;-53.07717; 0.00833;  97.787;  48.893; 34.2;NGC 7173               ;NED;330.51323;-31.97374
330.9514020;-31.9558562;ESO 466- G 051         ;015.02537;-53.44706; 0.00844;  26.834;  13.417; 34.7;ESO 466- G 051         ;NED;330.95140;-31.95586
329.8351052;-31.8832118;NGC 7163               ;015.04150;-52.49683; 0.00919;  67.927;  33.963; 37.7;NGC 7163               ;NED;329.83511;-31.88321
330.5078942;-31.8698562;NGC 7172               ;015.12871;-53.06587; 0.00868; 228.837; 114.419; 35.7;NGC 7172               ;NED;330.50789;-31.86986
241.7232593;+03.7934919;UGC 10203              ;015.19063;+37.90582; 0.01863; 109.097;  54.549; 76.5;UGC 10203              ;NED;241.72326;+03.79349
305.8075800;-27.7145791;ESO 462- G 015         ;015.46527;-31.28243; 0.01914; 706.109; 353.054; 78.6;ESO 462- G 015         ;NED;305.80758;-27.71458
217.1073199;+17.9243068;NGC 5628               ;015.63618;+65.84184; 0.01909; 214.751; 107.376; 78.4;NGC 5628               ;NED;217.10732;+17.92431
238.9890962;+05.9318846;NGC 6014               ;015.70440;+41.34636; 0.00831;  53.516;  26.758; 34.1;NGC 6014               ;NED;238.98910;+05.93188
252.9265818;-02.6151993;VV 820 NED02           ;015.73679;+25.01294; 0.02342; 763.260; 381.630; 96.2;                       ;NED;252.92658;-02.61520
305.3495783;-27.3468874;ESO 462- G 008         ;015.74062;-30.78798; 0.02383; 232.293; 116.146; 97.9;ESO 462- G 008         ;NED;305.34958;-27.34689
316.9996314;-29.8358387;2MASX J21075991-2950089;015.83761;-41.31011; 0.01918; 117.279;  58.640; 78.8;2MASX J21075991-2950089;NED;316.99963;-29.83584
317.1332985;-29.7690941;IC 5086                ;015.95508;-41.41078; 0.01986; 426.594; 213.297; 81.5;IC 5086                ;NED;317.13330;-29.76909
327.6068545;-30.9947697;IC 5139                ;016.18987;-50.52380; 0.01789; 422.293; 211.147; 73.5;IC 5139                ;NED;327.60685;-30.99477
331.6329876;-31.2630492;NGC 7201               ;016.25867;-53.98017; 0.01473; 226.577; 113.289; 60.5;NGC 7201               ;NED;331.63299;-31.26305
317.5798849;-29.5274511;ESO 464- G 026         ;016.37373;-41.74387; 0.01852; 131.366;  65.683; 76.0;ESO 464- G 026         ;NED;317.57988;-29.52745
331.6827819;-31.1624667;NGC 7203               ;016.43462;-54.01529; 0.01355; 176.120;  88.060; 55.6;NGC 7203               ;NED;331.68278;-31.16247
309.3839958;-27.5767769;ESO 463- G 008         ;016.65903;-34.29051; 0.02024; 184.663;  92.332; 83.1;ESO 463- G 008         ;NED;309.38400;-27.57678
