_RAJ2000;_DEJ2000;FFF98;xpos;ypos;MType;n;F814W;Vzmag;F606W-F814W;(B-V)z;rc;M;_RA;_DE
209.9939911;+62.5661347; 562;  57.0; 175.1;E   ;3;20.32;21.11; 0.781; 0.510; 0.25;M;209.99399;+62.56613
210.0441556;+62.5668356; 565; 140.2; 177.7;E   ;3;21.03;21.86; 0.987; 0.679; 0.55;M;210.04416;+62.56684
209.8398186;+62.5679211; 572;-198.7; 181.7;?   ;4;19.39;20.29; 1.229; 0.878; 0.97;M;209.83982;+62.56792
209.9269389;+62.5734128; 584; -54.2; 201.3;?   ;4;20.54;21.41; 1.182; 0.839; 0.36;M;209.92694;+62.57341
209.9859803;+62.5749419; 587;  43.7; 206.8;?   ;1;20.86;21.72; 1.119; 0.788; 1.89;M;209.98598;+62.57494
209.8364708;+62.5755292; 591;-204.2; 209.1;Irr ;2;21.25;22.05; 0.828; 0.549; 2.08;M;209.83647;+62.57553
209.8573942;+62.5768239; 594;-169.5; 213.7;?   ;1;21.05;21.90; 1.031; 0.715; 0.16;M;209.85739;+62.57682
209.9255347;+62.5883847; 626; -56.5; 255.2;S0  ;2;19.43;20.32; 1.232; 0.880; 1.48;M;209.92553;+62.58838
209.8440458;+62.4731189;1328;-192.3;-159.6;E   ;3;20.87;21.77; 1.191; 0.847; 0.41;M;209.84405;+62.47312
209.8139811;+62.4757575;1341;-242.3;-150.0;Irr ;1;21.94;22.74; 0.734; 0.472; 1.15;M;209.81398;+62.47576
209.8755883;+62.4773358;1352;-139.8;-144.5;?   ;2;20.97;21.85; 1.110; 0.780; 0.90;M;209.87559;+62.47734
210.0295544;+62.4855103;1414; 116.3;-115.1;?   ;2;21.23;22.08; 1.104; 0.775; 0.64;M;210.02955;+62.48551
209.9575200;+62.4926667;1455;  -3.5; -89.4;?   ;3;21.13;22.03; 1.156; 0.818; 0.44;M;209.95752;+62.49267
210.0179669;+62.4943211;1461;  97.0; -83.4;S0  ;3;21.41;22.31; 1.096; 0.769; 1.24;M;210.01797;+62.49432
